time,task,metric,features,preproc,algo,params,train_score,test_score
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.001, ""gb__max_depth"": 3, ""gb__n_estimators"": 300}",-0.3373147193468179,-0.34021595929473214
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.001, ""gb__max_depth"": 5, ""gb__n_estimators"": 20}",-0.40076875738976303,-0.40113311412078956
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.001, ""gb__max_depth"": 5, ""gb__n_estimators"": 50}",-0.39104980412653056,-0.3917741654556166
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.001, ""gb__max_depth"": 5, ""gb__n_estimators"": 100}",-0.37588343718572503,-0.3772816474320795
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.001, ""gb__max_depth"": 5, ""gb__n_estimators"": 300}",-0.32497118165517946,-0.32937881898902044
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.001, ""gb__max_depth"": 10, ""gb__n_estimators"": 20}",-0.3997906417765242,-0.40079056857709405
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.001, ""gb__max_depth"": 10, ""gb__n_estimators"": 50}",-0.38859458211804937,-0.3909461181205628
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.001, ""gb__max_depth"": 10, ""gb__n_estimators"": 100}",-0.37100950965100327,-0.3755873586375766
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.001, ""gb__max_depth"": 10, ""gb__n_estimators"": 300}",-0.31112560473877227,-0.3250123519234605
21.03.18-16:19:00,house_price,make_scorer(rmlse),OverallQual;GrLivArea;TotalBsmtSF;GarageCars;TotalBsmtSF;FullBath;TotRmsAbvGrd;YearBuilt,nothing,GradientBoostingRegressor,"{""gb__learning_rate"": 0.01, ""gb__max_depth"": 3, ""gb__n_estimators"": 20}",-0.3574299659230018,-0.359521223684231
